"vehicle_id","vehicle_brand","vehicle_model","vehicle_type","manufacturing_year","battery_manufacturer","battery_chemistry","battery_capacity_kwh","drive_type","odometer_km","vehicle_age_years","fleet_or_private","battery_serial","cycle_count","battery_health_percent","state_of_charge","depth_of_discharge","state_of_health","cell_voltage_avg","cell_voltage_std","pack_voltage","cell_temperature_avg","cell_temperature_max","internal_resistance","charge_efficiency","discharge_efficiency","remaining_capacity","capacity_loss_percent","charging_cycles_last_month","fast_charge_ratio","slow_charge_ratio","average_charge_power_kw","average_charging_time","overnight_charging_ratio","home_charging_ratio","charging_interruptions","overcharge_events","average_speed","average_trip_distance","aggressive_acceleration_score","hard_braking_score","regenerative_braking_usage","highway_driving_ratio","city_driving_ratio","daily_distance","average_ambient_temperature","maximum_temperature","minimum_temperature","humidity","altitude","terrain_type","dust_exposure","last_service_days","cooling_system_health","firmware_updates","previous_faults","maintenance_score","thermal_runaway_risk","voltage_imbalance","temperature_variance","sensor_fault_count","bms_warning_count","abnormal_voltage_events","battery_stress_index","aging_score","thermal_health_score","charging_quality_score","driving_stress_score","predicted_remaining_life_cycles","battery_failure"
"EV108597","Nissan","Ariya","SUV","2024","LG Energy Solution","NMC","119.47","RWD",,"2.42","Fleet","BAT-10008597","1116","90.77","87.33","54.54","90.14","3.536","0.0023",,"18.74","27.03","0.269","97.66","96.88","108.44","9.23","35","0.31","0.62","72.16","123.25",,"0.08","0","1","88.13","2.59","61.37","18.28","26.62","0.55","0.74",,"-18","-8.22","-34.41","12.76","1853.51","Coastal","47.6","1469.4","97.56","4","0","44.45","3.15","6.61","32.94","1","0","1","54.78","32.61","100","92.66","36.85","10421","0"
"EV104337","Ford","F-150 Lightning","Van","2021","LG Energy Solution","LMO","100.54","AWD","157156","5.13","Private","BAT-10004337",,"81.02","22.74","25.45","79.99","3.718","0.0031","386.67","24.98","42.29","0.339","95.78",,"81.46","18.98","11","0.58","0.18","29.95","218.61","0.81","0.65","2","0","75.76","23.75","41.97","9.4","99.71","0.26","0.04","11.19","13.43","27.32","-4.53","44.46","885.55","Mountainous","40.86","449.5","87.26","19","0","81.09","3.6","6.07","28.86","0","0","0","57.5","60.02","96.13","87.93","20","7771","0"
"EV100025","Renault","Megane E-Tech","Sedan","2021","Guoxuan","LFP","98.86","FWD","162381.9","4.98","Fleet","BAT-10000025","1532","81.96","47.39","48.92","80.25","3.634","0.031","287.09","28.19","48.98","0.543","95.76","94.76",,"18.04",,"0.33","0.57","26.73","180","0.68","0.34","1","0","51.9","4.77","92.88","63.46","53.69","0.29","0.26","3.28","27.75",,"22.32","63.63","380.21","Mountainous","19.77","528.9","88.59","28","1","69.07","20.86","43.11","21.23","1","1","0","44.29","62.18","75.96","89.46","46.81","7212","0"
"EV108688","Tata","Tiago EV","SUV","2018","Northvolt",,"89.29","RWD",,"8.28","Fleet","BAT-10008688","1164","75.94","13.99","63.75","77.47","3.392","0.0239","281.54","9.86","15.14","0.419","95.25","93.75","67.81","24.06","36","0.29","0.71","40.77","218.79","0.63","0.56","0","3","84.97","89.7","20.46","35.92","4.11","0.83","0.59",,"7.72","15.52","-8.96","61.93","1965.66","Mountainous","36.31","362.3",,"28","0","76.06","15.29","31.51","7.42","0","0","0","55.09","65.15","83.18","73.04","38.01","7202","0"
"EV104667","Volvo","XC40 Recharge","Van","2024","SK On","LMO","148","AWD","97857.6","1.82","Private","BAT-10004667","877","89.97","37.1","31.31","91.09","3.698","0.0209","384.59","38.38","49.13","0.317","97.69","95.57","133.16","10.03","40","0.28","0.57","36.19","355.14","0.57","0.04","0","1","62.73","1.96","40.7","78.83","44.11","0.81","0.28",,"-7.91","11.7","-22.18","29.4","365.5","Coastal","15.74","880.7","86.58","19","1","64.66","24.78","32.56","32.94","0",,"0","46.67","23.07","73.78","76.1","41.64","9226","0"
"EV116477","Rivian","R1S","Truck","2021",,"NMC","29.51","FWD","79166.8","5.23","Private","BAT-10016477","974","81.74","42.06","40.49","84.04","3.733","0.0002","365.83","38","46.75","0.352","96.2","95.06","24.12","18.26","22","0.34","0.45","30.44","65.44","0.78","0.67","0","0","60.43","121.46","91.18","67.17","11.92","0.02","0.96","55.38","7.51","22.55","4.29","45.86","259.38","Hilly","63.65","375.4","93.39","1","2","81.97","23.43","4.33","32.94","0","0","2","63.52","54.3","73.59","97.79","64.25","6239","0"
"EV107639","Mercedes-Benz","EQA","Hatchback","2019","CATL","LFP","127.99","RWD","102703.6","6.67","Private","BAT-10007639","1166","85.85","99.55","78.1","84.29","3.565","0.0041","299.46","25.62","41.86","0.505","96.7","94.39","109.88","14.15","19","0.47",,"98.76","96.32","0.71","0.8","0","1","17.61","17.27","17.91","26.85","39.94","0.12","0.59","14.12","10.94","22.48","-0.35","71.22","1440.25","Coastal","58.71","208.4","91.1","2","4","73.95","17.03","15.51","30.92","0","0","0","59.48","52.83","83.59","82.31","20.37","8180","0"
"EV110669","Mahindra","XUV400","Truck","2022","Envision AESC","NMC","141.94","RWD","56050.4","4.44","Fleet","BAT-10010669","569","83.93","56","58.41","85.5","3.743","0.0446",,"32.49","48.03","0.315","96.74","95.38","119.13","16.07","15","0.1","0.7","52.04","234.38","0.03","0.66","1",,"113.33","79.6","50.49",,"60.16","0.53","0.37","55.2","12.85","20.31","2.79","76.07",,"Desert",,"376.3","89.27","28","1","74.18","20.12",,"32.94","0","0",,"49.32","36.83","76.41","95.17","38.27","9207","0"
"EV101796","Porsche","Taycan","Crossover","2016","LG Energy Solution","LMO","132.02","AWD","98001.8","9.91","Fleet","BAT-10001796","1014","78.37","97.95","72.62","76.87","3.5","0.0047","259","25.03","34.72","0.57","96.4","93.5","103.46",,"41","0.13","0.82","18.01","406.07","0.91","0.33","0","1","94.34","63.53","12.31","1.42","66.33","0.49","0.91","49.73","32.15","49.81","18.43","50.83","66.01","Flat","74.58","721.7","86.92","29","0","62.95","8.25","8.25","2.57","1","1","0","38.35","66.71","94.28","88.32","19.36","8919","0"
"EV117611","BMW","iX1","Crossover","2017","Guoxuan","LMO","117.92","AWD","63194.3","8.92","Private","BAT-10017611","922","80.14","9.47","45.82","79.48","3.567","0.0049","360.27","38.13","57.24","0.402","96.99","95.15",,"19.86","27","0.15","0.69","113.7","104.14","0.14","0.98","0","0","88.14","29.65","18.91","62.78","71.69","0.45","0.82","18.56","8.52","26.33","3.91","61.44","189.38","Desert","99.71","1357.4","92.01","4","1","45.62","45.28","11.43","32.94","1","2","2","48.56","67.13","52.67",,"20.35","7221","0"
